"luego"	[[6, 1]]
"lugar"	[[6, 1]]
"lulitos"	[[4, 1]]
"lulo"	[[4, 1]]
"luna"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"lunes"	[[1, 1], [2, 1]]
"m\u00e1s"	[[1, 5], [2, 5]]
"m\u00e3"	[[3, 3], [4, 11], [5, 7], [6, 3], [7, 3]]
"m\u00e3\u00b3nica"	[[3, 1], [4, 1], [5, 1], [6, 1]]
"m\u00e3\u00baltiple"	[[3, 2], [4, 2], [5, 2], [6, 2]]
"m\u00e3\u00basica"	[[4, 1]]
"m\u00f3nica"	[[1, 1], [2, 1]]
"m\u00faltiple"	[[1, 3], [2, 3]]
"ma\u00e3"	[[3, 1]]
"machu"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"madrugada"	[[6, 1]]
"magallanes"	[[1, 4], [2, 4], [3, 3], [4, 3], [5, 3], [6, 3], [7, 2]]
"magnitud"	[[1, 1], [2, 1]]
"majestad"	[[5, 1]]
"mal"	[[4, 1]]
"malentendido"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"malls"	[[1, 1], [2, 1]]
"mama"	[[4, 2], [5, 2]]
"mamac\u00e3"	[[4, 1], [5, 1]]
"mandar"	[[4, 1]]
"manifest\u00e3\u00b3"	[[4, 1]]
"manifestado"	[[4, 1]]
"manifestando"	[[5, 1]]
"mano"	[[7, 1]]
"manos"	[[4, 1]]
"manten\u00e3"	[[4, 1]]
"mantenido"	[[6, 1]]
"manuel"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"mar\u00e3"	[[3, 2], [4, 2], [5, 2], [6, 2]]
"mar\u00eda"	[[1, 3], [2, 3]]
"marcel"	[[1, 1], [2, 1]]
"marcela"	[[1, 1], [2, 1], [3, 2]]
"marcha"	[[5, 1]]
"mario"	[[1, 1], [2, 1]]
"mascota"	[[5, 1]]
"mat\u00e3\u00b3"	[[3, 1], [4, 1], [5, 1], [6, 1]]
"mat\u00f3"	[[1, 1], [2, 1]]
"mata"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"matar"	[[5, 5]]
